Symbol,MarketCap,Beta,PE_Ratio,DividendYield,Volume_Avg,Price52WeekHigh,Price52WeekLow
AAPL,3409136582656.0,1.165,34.858875,0.45,54200379,260.1,169.21
MSFT,3754642636800.0,1.055,37.032257,0.66,19979988,555.45,344.79
GOOGL,2559533121536.0,1.014,22.531982,0.4,36908270,214.65,140.53
AMZN,2403228450816.0,1.314,34.35061,,41627283,242.52,161.38
TSLA,1062334169088.0,2.331,196.04762,,97845051,488.54,210.51
META,1846699229184.0,1.273,26.663403,0.29,11844511,796.25,479.8
NVDA,4157980803072.0,2.145,48.517044,0.02,174745590,184.48,86.62
JPM,824100126720.0,1.107,15.361354,1.87,8322467,302.95,200.61
JNJ,428829016064.0,0.399,19.04385,2.92,8318227,181.16,140.68
V,679464861696.0,0.94,34.119884,0.67,6535064,375.51,268.23
PG,370071044096.0,0.373,24.268818,2.68,7920406,180.43,149.91
UNH,279672127488.0,0.44,13.367965,2.86,16089633,630.73,234.6
HD,404435697664.0,1.0,27.621346,2.26,3528235,439.37,326.31
MA,535057596416.0,1.029,39.829746,0.51,2826608,601.77,465.59
BAC,373458403328.0,1.315,14.785923,2.22,38763698,50.92,33.07
ABBV,374369386496.0,0.503,100.91429,3.1,5477062,218.66,163.81
PFE,142025031680.0,0.44,13.216931,6.89,40671870,30.43,20.92
KO,297211428864.0,0.437,24.48936,2.95,15311440,74.38,60.62
AVGO,1402762821632.0,1.167,108.84671,0.79,20358885,317.35,134.9
PEP,205745356800.0,0.457,27.373407,3.79,9727811,179.73,127.6
TMO,184097177600.0,0.748,28.164646,0.35,2607450,627.88,385.46
COST,416345063424.0,0.952,53.190937,0.55,2140029,1078.23,867.16
DHR,145924227072.0,0.761,43.267513,0.63,3851120,279.9,171.0
ABT,228800888832.0,0.705,16.494354,1.8,6344622,141.23,110.86
VZ,184674811904.0,0.362,10.186046,6.19,17888704,47.36,37.59
ADBE,146616254464.0,1.517,22.127401,,3870069,587.75,330.04
NFLX,515906928640.0,1.589,51.818607,,3179469,1341.15,660.8
CRM,241734156288.0,1.37,39.509373,0.66,7531493,369.0,226.48
TXN,181654667264.0,1.022,36.528336,2.72,6407461,221.69,139.95
XOM,488952135680.0,0.502,16.291193,3.45,16681820,126.34,97.8
SPY,587628281856.0,,27.186184,1.13,70256782,649.48,481.8
QQQ,222345216000.0,,33.115437,0.5,44978516,583.32,402.39
VTI,655274803200.0,,26.585829,1.19,3459225,320.4,236.42
IWM,65737588736.0,,18.63226,1.13,34506817,244.98,171.73
EFA,85000273920.0,,17.974287,2.96,13383379,93.38,72.15
VEA,,,17.250683,2.75,11920203,59.67,45.14
VWO,72976449536.0,,15.981029,2.78,8036511,52.25,39.53
VNQ,33579116544.0,,32.975136,3.89,3432372,99.58,76.92
GLD,84751073280.0,,,0.0,9339545,325.92,229.38
SLV,12684867584.0,,,0.0,20783366,37.17,25.27
TLT,9393610752.0,,,4.41,36289690,101.64,83.3
IEF,13950300160.0,,,3.75,7151408,99.18,91.08
LQD,32006176768.0,,32.97551,4.41,26434917,114.07,103.45
HYG,15724283904.0,,11.053716,5.75,33476814,81.01,75.08
XLF,47343816704.0,,18.727962,1.38,36650817,54.14,42.21
XLK,70680141824.0,,37.71206,0.59,6244062,270.05,172.45
XLE,16875100160.0,,16.716932,3.28,18259845,97.92,74.49
XLV,27156408320.0,,24.856598,1.84,13621937,159.64,127.35
XLI,20570411008.0,,26.363087,1.27,11072462,155.15,112.75
XLP,16950372352.0,,23.169952,2.52,15264050,84.53,75.61
XLU,13721546752.0,,21.087135,2.66,11887170,87.67,71.02
XLY,27659390976.0,,30.082483,0.83,5171116,240.28,173.1
XLB,6587490816.0,,27.109804,1.95,6418500,97.87,73.12
XLRE,,,35.564686,3.34,6440717,45.58,35.76
VGT,,,37.84258,0.45,488225,710.88,451.0
VHT,13882279936.0,,24.857475,1.65,300072,288.68,234.11
VFH,,,18.361963,1.72,499730,132.34,100.87
VIS,7058289152.0,,26.561853,1.1,69393,295.78,213.26
VDE,5309563392.0,,16.1566,3.19,543003,137.41,103.07
VAW,,,26.731295,1.71,55530,215.82,161.43
AGG,56612962304.0,,126.1097,3.83,8626543,102.04,95.74
BND,,,,3.77,6531900,75.67,71.1
VTEB,,,,3.3,7225785,51.17,47.02
MUB,,,,3.17,5084516,108.81,100.29
VCIT,,,,4.48,10243027,84.26,78.66
VCSH,,,,4.18,4971943,79.87,77.58
VGIT,,,,3.77,1993037,60.82,57.4
VGSH,,,,4.16,2295891,59.13,58.0
SCHZ,,,,4.04,1362777,24.15,22.43
GOVT,,,,3.4,7301074,23.69,22.23
SHY,17304924160.0,,3758.182,3.96,3418641,83.3,81.67
IEI,,,,3.32,1716206,120.33,114.51
TIP,19644735488.0,,12.42135,2.43,2616891,111.51,106.04
VTIP,,,,2.72,1375327,50.7,48.28
SCHP,3101484032.0,,,3.03,3643582,27.06,25.68
EMB,,,,5.44,6478577,94.3,84.78
BWX,,,,1.82,722712,23.55,20.89
BNDX,,,,4.32,3433103,50.7,48.29
VXUS,,,16.920185,2.86,4240080,72.46,54.98
IAUM,,,,0.0,2618479,35.3,24.765
JPST,7503104000.0,,,4.77,5141453,50.75,50.3
NEAR,,,,4.82,397814,51.4,50.25
MINT,,,,4.97,1141837,100.76,100.04
ICSH,,,,4.86,1229188,50.77,50.33
FLOT,,,,5.24,1216659,51.34,49.75
USFR,,,,4.51,4105019,50.5,50.19
TFLO,,,,4.55,1507295,50.69,50.36
SCHO,,,,4.2,2506364,24.535,24.06
SCHR,1964999936.0,,,3.81,1548212,25.465,24.04
SPTS,,,,4.15,1094032,29.46,28.88
